User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U250,21,Other,Freelancer,iOS,,5.6,8,,,13,1,13.6
U228,33,Female,Student,iOS,9.6,5.8,7,5.3,8.0,59,5,2.5
U278,33,Female,Business Owner,Android,2.9,6.3,8,4.2,8.0,38,6,9.9
U46,20,Male,Student,iOS,9.0,0.9,6,8.7,4.0,56,5,8.6
U148,36,Other,Business Owner,Android,6.2,1.4,5,6.4,7.0,36,0,8.8
U34,35,Other,Freelancer,iOS,3.4,2.0,7,7.1,6.0,21,1,9.8
U15,23,Male,Professional,Android,1.1,2.5,3,5.3,8.0,29,5,9.2
U102,38,Female,Freelancer,Android,1.3,1.5,6,5.2,2.0,17,1,11.3
U35,27,Female,Student,Android,11.8,6.3,5,6.0,1.0,40,0,13.3
U300,31,Male,Student,iOS,8.8,1.7,4,4.6,9.0,59,5,2.4
U48,52,Male,Freelancer,iOS,5.2,4.9,9,7.1,1.0,6,4,6.9
U19,56,Female,Business Owner,Android,3.3,4.3,2,4.5,1.0,19,1,5.8
U209,32,Female,Business Owner,iOS,7.2,7.2,6,4.2,9.0,13,3,3.7
U281,49,Male,Professional,iOS,10.6,5.3,1,5.2,4.0,58,1,6.1
U44,56,Male,Professional,Android,1.0,7.1,9,7.7,10.0,23,6,2.1
U235,54,Male,Professional,Android,10.3,7.6,7,7.6,1.0,45,3,11.4
U13,20,Female,Business Owner,iOS,11.1,5.6,3,5.0,4.0,22,6,4.2
U163,30,Male,Professional,iOS,4.9,7.5,5,6.3,3.0,27,3,11.9
U185,52,Female,Freelancer,iOS,2.7,5.2,6,7.4,1.0,23,3,11.6
U170,56,Other,Freelancer,Android,11.0,7.3,1,6.1,3.0,40,1,8.4
U213,55,Other,Freelancer,iOS,11.4,2.1,1,5.2,3.0,13,1,7.1
U14,19,Female,Freelancer,iOS,9.7,4.1,10,6.0,1.0,36,6,2.3
U7,26,Male,Student,iOS,5.6,6.1,8,6.7,3.0,5,3,2.9
U243,24,Male,Business Owner,Android,8.6,6.1,2,8.0,8.0,57,0,8.2
U268,33,Male,Freelancer,iOS,3.6,6.2,5,9.0,4.0,36,0,12.0
U129,58,Male,Professional,iOS,9.4,7.4,5,7.6,2.0,51,3,9.4
U174,25,Female,Freelancer,Android,11.1,1.2,2,5.2,1.0,10,5,2.1
U234,26,Other,Freelancer,Android,5.6,7.8,3,7.9,2.0,15,0,2.0
U155,29,Male,Professional,iOS,7.5,5.9,4,5.6,9.0,24,0,8.5
U261,52,Female,Freelancer,iOS,11.7,4.8,7,5.5,8.0,15,2,6.6
U64,23,Female,Freelancer,iOS,3.9,7.7,6,5.0,6.0,24,0,3.7
U130,28,Male,Professional,iOS,5.9,4.6,5,9.0,1.0,53,4,6.3
U62,32,Male,Professional,Android,9.7,7.3,2,5.8,5.0,45,0,10.5
U179,33,Male,Student,Android,5.3,1.3,6,6.6,7.0,31,2,10.9
U25,44,Female,Business Owner,Android,3.7,4.2,7,6.7,6.0,40,5,12.0
U69,47,Other,Student,Android,10.2,2.4,4,5.3,10.0,16,4,5.4
U219,22,Female,Business Owner,Android,8.5,3.5,5,7.0,2.0,5,2,12.5
U65,32,Female,Freelancer,Android,5.7,5.2,8,5.7,2.0,16,6,2.7
